Event_Type,Event_Name,Code,Percent_Discount,Fixed_Discount,Discount_Type,Launch_Date,End_Date,Notes
Promo,,LOVEYOU,0.2,,Sitewide,2/1/19,2/3/19,
Collection Drop,Spring,,,,,2/25/19,,
Collaboration,Wunderkin Co Bow Collaboration,,,,,3/7/19,,
Promo,,SPRINGTIME,0.15,,Sitewide,4/15/19,4/15/19,
Restock,Herbal Study restock (Earth Day),,,,,4/22/19,,
Restock,Prim Floral,,,,,4/29/19,,
Collaboration,Sonnet James Collaboration,,,,,4/29/19,,
Collection Drop,Summer,,,,,5/22/19,,
Promo,,MEMORIALDAY,0.2,,Sale only,5/27/19,5/27/19,
Collection Drop,Summer Leo,,,,,6/14/19,,"Watercolor Plaid, Dark Mauve, Sierra Floral, Navy"
Collection Drop,Fourth of July,,,,,6/21/19,,
Restock,Herbal Study,,,,,7/1/19,,
Collection Drop,Winnie Dress,,,,,7/1/19,,"2 colors (Muted Clay, Blue Surf)"
Promo,End of Summer Sale,SOLONGSUMMER,0.3,,Sitewide,7/26/19,7/28/19,
Collection Drop,Fall,,,,,8/19/19,,
Promo,Labor Day,No Code,,,Free Shipping,8/31/19,9/2/19,Mark downs manually on some sale items too
Collection Drop,Classics,,,,,9/6/19,,"Blush Dot, Ivory Dot, Solid Glacier, Spice, Mustard and Blush"
Collection Drop,Late Fall,,,,,10/1/19,,
Collection Drop,Holiday,,,,,10/21/19,,
Collection Drop,Tiered Ballet Dress,,,,,11/8/19,,
Promo,,FREESHIP,,,Free Shipping,11/16/19,11/27/19,
Promo,Black Friday,THANKS30,0.3,,,11/28/19,12/2/19,
Collection Drop,Valentines,,,,,1/24/20,,
TBD,,,,,,2/17/20,2/22/20,Marketing event?
Collection Drop,Spring,,,,,3/2/20,,
TBD,,,,,,3/10/20,,Marketing event?
Collection Drop,Spring Woven,,,,,4/17/20,,
Collection Drop,Summer Tank,,,,,5/18/20,,
TBD,,,,,,5/22/20,5/25/20,Marketing event?
Collection Drop,"Fourth of July, Tank",,,,,6/17/20,,Skus look mislabeled with wrong year
TBD,,,,,,6/29/20,,Marketing event?
TBD,,,,,,7/8/20,7/9/20,Marketing event?
Collection Drop,Late Summer,,,,,7/17/20,,
TBD,,,,,,7/31/20,,Marketing event?
TBD,,,,,,8/10/20,8/15/20,Marketing event?
Collection Drop,Back to School,,,,,8/24/20,,
TBD,,,,,,9/7/20,,Marketing event?
Collection Drop,Fall,,,,,10/2/20,,
Collection Drop,Holiday,,,,,11/2/20,,
TBD,,,,,,11/20/20,,BF
Collection Drop,"Fall, Back to Learning",,,,,12/7/20,,SKU looks mislabeled with wrong year
TBD,,,,,,12/16/20,,Marketing event?
Promo,End of Year Sale,,,,Sale Section,12/30/20,,No code needed
Collection Drop,Zimmerman Collab,,,,,1/15/21,,"SS Dot Fawn and Burnt Sienna, coordinating Zimmerman sandals for pre order"
Collection Drop,Valentines,,,,,1/29/21,,
Restock,"Painted Dot, SS Ballet",,,,,2/5/21,,
Collection Drop,Rainbow Stripe Drop + LPC Collab,,,,,2/18/21,,
Collection Drop,Spring,,,,,2/26/21,,
Restock,Pia Floral SS Ballet Dress / St Patricks Day,,,,,3/8/21,,
Collection Drop,Spring 2,,,,,3/22/21,,
TBD,,,,,,4/2/21,,Nothing on the Instagram
Collection Drop,Spring 3,,,,,4/7/21,,
Collaboration,Sonnet/LPC/Zimmerman,,,,,4/12/21,,
Promo,Suprise Sale,JUMPJUMP,20,,,4/16/21,,LS Jumpsuits + Lounge Sets
Collection Drop,Purple,,,,,5/3/21,,
Restock,"SS Ballet, Painted Dot and Prim Floral",,,,,5/7/21,,
Collection Drop,Summer Tank,,,,,5/14/21,,"Check SKUs, some are labeled Summer Tank and some just Tank"
Promo,Memorial Day,SUMMERSAVE,20,,Sitewide,5/28/21,5/31/21,
Collection Drop,Esther Baseme Collab (with donation),,,,,6/7/21,,
Collection Drop,Fourth of July (tank),,,,,6/14/21,,Check SKUs
Collection Drop,Pinafore + Shortie Jumpsuits,,,,,6/28/21,,
Collection Drop,Race for Immunology (Donation),,,,,7/2/21,,SS Ballet Dress in Unicorn and Zebra
Restock,Glacier/Sun Ray,,,,,7/9/21,,
Promo,Tankapalooza,,,,,7/16/21,,
Collection Drop,Back to School,,,,,7/23/21,,
Collection Drop,Sunday Leo,,,,,8/6/21,,
Promo,Anniversary Sale,,,,Sale Section,8/10/21,8/16/21,"Up to 60% off sale section, as marked"
Promo,Labor Day Sale,,15,,Sitewide,9/4/21,9/6/21,
Collection Drop,Fall,,,,,9/10/21,,
Restock,"SS Ballet, Blush Dot",,,,,9/13/21,,
Restock,"SS Ballet, Prim Floral",,,,,9/22/21,,
Restock,"Ballet Dress, Ebony",,,,,10/1/21,,
Collection Drop,Holiday,,,,,10/22/21,,
Collection Drop,Jumpapalooza,,,,,11/1/21,,
Restock,"Ballet Dress, Apples",,,,,11/8/21,,
Promo,Black Friday,,,,Sitewide,11/16/21,11/29/21,"30-40% off, as marked"
Collection Drop,Mid Winter / Black Friday Collection,,,,,11/26/21,,Check SKUs
Collection Drop,Basics Collection,,,,,12/3/21,,
Restock,"Ballet Dress, Retro Plaid",,,,,12/3/21,,
Restock,Circus Stripe (4 styles),,,,,12/13/21,,
Promo,End of Year Sale,FEELIN22,22,,Sitewide,12/29/21,1/2/22,
Collection Drop,January Jams,,,,,1/21/22,,Check SKUs
Collection Drop,Valentine's,,,,,1/28/22,,
Restock,"SS Ballet Dress, Ivory Dot",,,,,2/7/22,,
Collaboration,LPC,,,,,2/16/22,,
Promo,President's Day,,20,,Sitewide,2/18/22,2/21/22,
Collection Drop,Spring,,,,,3/2/22,,
Promo,St. Patrick's Day,,40,,Green Items,3/9/22,3/11/22,
Collection Drop,Easter,,,,,4/4/22,,
Collection Drop,Spring (Late),,,,,4/8/22,,WIth Ukraine promo/donation
Collection Drop,Rolling Hills,,,,,4/18/22,,
Collection Drop,Spring Woven,,,,,5/9/22,,Check SKUs change name to Spring Woven (not Woven Spring)
Promo,Online Warehouse,ONLINEWHS,30,,Sale Section,5/14/22,,
Collection Drop,Summer Tank,,,,,5/16/22,,
Collection Drop,Leftovers Collection,,,,,5/23/22,,
Promo,Memorial Day,MEMDAY30,30,,Sale Section,5/27/22,5/30/22,
Restock,"Herbal Study, SS Ballet Dress",,,,,5/31/22,,
Collection Drop,Woven Drop,,,,,6/6/22,,
Collection Drop,Jams + Olivia J Sock Collab,,,,,6/13/22,,
Collection Drop,Smol Collaboration,,,,,6/17/22,,Check SKUs (lots of multi labeled SKUs)
Collection Drop,Fourth of July,,,,,6/24/22,,
Restock,"Apples, WD Jumsuit and SS Ballet Dress",,,,,8/1/22,,
Promo,Anniversary Sale,,,,,8/10/22,8/14/22,Details of this sale are not clear from Instragram
Collection Drop,Back to School,,,,,8/20/22,,
Collection Drop,Woven,,,,,8/26/22,,
Promo,Labor Day,LABORYAY,30,,Sale Section,9/3/22,9/5/22,
Collection Drop,Fall,,,,,9/27/22,,
Restock,SS Ballet - Blush and Ebony,,,,,10/12/22,,
Restock,LS Ballet Dress - Apples,,,,,10/19/22,,
Collection Drop,Holiday,,,,,10/28/22,,
Restock,SS Ballet - Blush Dot and Herbal Study,,,,,11/15/22,,
Promo,Black Friday,,,,,11/15/22,11/30/22,
Restock,Classics,,,,,11/17/22,,
Promo,BOGO,BOGO50,50,,Targeted,11/23/22,,"Shortie jammies, waffle lounge sets, play skirts"
Collection Drop,Holiday Jams,,,,,11/25/22,,
Promo,Cyber Monday,MONDAY,,,,11/28/22,,
