Title,Name,Product_Id,Variant_Id,Sku,Barcode,Variant_Title,Product_Type,Product_Category,Product_Type,Product_Sub_Type,Product_Campaign,Campaign_Year,is_print,Print_Solid_Name,Base_Fabric_Color,Made_In,Manufacturer
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 2T,,,SS20TBDFH002,,2T,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 3T,,,SS20TBDFH003,,3T,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 4T,,,SS20TBDFH004,,4T,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 5,,,SS20TBDFH005,,5,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 6,,,SS20TBDFH006,,6,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 7,,,SS20TBDFH007,,7,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 8,,,SS20TBDFH008,,8,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE TANK BALLET DRESS IN FRUITY HARVEST,THE TANK BALLET DRESS IN FRUITY HARVEST - 10,,,SS20TBDFH010,,10,,Girl's,Dresses,Tank Ballet Dress,Summer Tank,2020,TRUE, Fruity Harvest,Cream White,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 2T,,,FW19adobogarden002,,2T,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE ALICE + AMES HEADSCARF // AW18,THE ALICE + AMES HEADSCARF // AW18 - Autumn Blaze,,1.25099E+13,AAHSautumnblaze,,Autumn Blaze,,Girl's,Accessories,Headscarf,,,,,,USA,Left in Stitches
THE ALICE + AMES HEADSCARF,THE ALICE + AMES HEADSCARF - classic blue,,1.23051E+13,AAHSclassicblue19,,classic blue,,Girl's,Accessories,Headscarf,,,,,,USA,Left in Stitches
THE ALICE + AMES HEADSCARF // SS18,THE ALICE + AMES HEADSCARF // SS18 - classic blue,,1.23051E+13,AAHSclassicblue19,,classic blue,,Girl's,Accessories,Headscarf,,,,,,USA,Left in Stitches
THE ALICE + AMES HEADSCARF // AW18,THE ALICE + AMES HEADSCARF // AW18 - Dusty Pink,,1.25099E+13,AAHSdustypink,,Dusty Pink,,Girl's,Accessories,Headscarf,,,,,,USA,Left in Stitches
THE ALICE + AMES HEADSCARF,THE ALICE + AMES HEADSCARF - yellow gingham,,1.23051E+13,AAHSgingham20,,yellow gingham,,Girl's,Accessories,Headscarf,,,,,,USA,Left in Stitches
